Model,location,target_end_date,wis,horizon,reference_date,baseline,wis_baseline,wis_ratio
CEPH-Rtrend_fluH,01,2024-04-27,1.9128891304347828,0,2024-04-27,FluSight-baseline,3.1860173913043472,0.60040134609926
FluSight-ensemble,01,2024-04-27,2.0054668209393016,0,2024-04-27,FluSight-baseline,3.1860173913043472,0.6294588430097265
MIGHTE-Nsemble,01,2024-04-27,2.7746752671069883,0,2024-04-27,FluSight-baseline,3.1860173913043472,0.8708914379061325
MOBS-GLEAM_FLUH,01,2024-04-27,9.271692173913044,0,2024-04-27,FluSight-baseline,3.1860173913043472,2.9101197624402286
NU_UCSD-GLEAM_AI_FLUH,01,2024-04-27,6.82053695652174,0,2024-04-27,FluSight-baseline,3.1860173913043472,2.1407720419659824
CEPH-Rtrend_fluH,02,2024-04-27,3.4056608695652177,0,2024-04-27,FluSight-baseline,0.7401826086956518,4.601109009527616
FluSight-ensemble,02,2024-04-27,0.594744636335513,0,2024-04-27,FluSight-baseline,0.7401826086956518,0.8035106868878894
MIGHTE-Nsemble,02,2024-04-27,0.8213376267800945,0,2024-04-27,FluSight-baseline,0.7401826086956518,1.109641887192478
MOBS-GLEAM_FLUH,02,2024-04-27,0.4739130434782609,0,2024-04-27,FluSight-baseline,0.7401826086956518,0.6402650344803285
NU_UCSD-GLEAM_AI_FLUH,02,2024-04-27,0.7213108695652174,0,2024-04-27,FluSight-baseline,0.7401826086956518,0.9745039414480569
CEPH-Rtrend_fluH,04,2024-04-27,23.574782608695653,0,2024-04-27,FluSight-baseline,19.655660869565217,1.1993889579769255
FluSight-ensemble,04,2024-04-27,22.907749756563025,0,2024-04-27,FluSight-baseline,19.655660869565217,1.165453042183554
MIGHTE-Nsemble,04,2024-04-27,17.966911262584038,0,2024-04-27,FluSight-baseline,19.655660869565217,0.9140832954848119
MOBS-GLEAM_FLUH,04,2024-04-27,45.55164739130436,0,2024-04-27,FluSight-baseline,19.655660869565217,2.317482362642735
NU_UCSD-GLEAM_AI_FLUH,04,2024-04-27,24.60010695652174,0,2024-04-27,FluSight-baseline,19.655660869565217,1.2515532863416712
CEPH-Rtrend_fluH,05,2024-04-27,3.1795652173913047,0,2024-04-27,FluSight-baseline,4.205291304347826,0.7560867933462709
FluSight-ensemble,05,2024-04-27,2.8707598103741785,0,2024-04-27,FluSight-baseline,4.205291304347826,0.6826542093305443
MIGHTE-Nsemble,05,2024-04-27,3.3179037816781203,0,2024-04-27,FluSight-baseline,4.205291304347826,0.7889831028465873
MOBS-GLEAM_FLUH,05,2024-04-27,2.6947286956521737,0,2024-04-27,FluSight-baseline,4.205291304347826,0.6407947751125135
NU_UCSD-GLEAM_AI_FLUH,05,2024-04-27,8.29976652173913,0,2024-04-27,FluSight-baseline,4.205291304347826,1.9736484160224645
CEPH-Rtrend_fluH,06,2024-04-27,6.374347826086957,0,2024-04-27,FluSight-baseline,12.21700217391303,0.5217603905889535
